This CSV file was written with from https://rockphysics.herokuapp.com/
Contact Jacob Anderson with questions/comments. jacob.anderson10@gmail.com
Calculation Method,Bulk Modulus Quartz (K0 GPa),Bulk Modulus Plag Feldspar (K0 GPa),Bulk Modulus Dolomite (K0 GPa),Bulk Modulus Clay (K0 GPa),Fraction Quartz,Fraction Plag Feldspar,Fraction Dolomite,Fraction Clay,Bulk Modulus of Pore Fluid (Kfl GPa),Bulk Modulus of Gas (Kgas GPa),Density of Pore Fluid (g/cc),Density of Gas (g/cc),Porosity,Density of Rock (g/cc),Grain Density (g/cc),Primary Velocity of Rock (Km/s),Shear Velocity of Rock (km/s),SP Cutoff,Wavelet Type,Sampling Interval (time),Frequency (Hz)
Castagna_1,37.0,75.6,94.6,25.0,0.75,0.1,0.1,0.05,3.1,0.25,1.0,0.25,20.0,2.3,2.12,3.5,1.8000000000000003,50.0,Ricker,0.02,30.0
Depth,SP,Sonic,Vp 0% Sw (m/s),Vp 20% Sw (m/s),Vp 40% Sw (m/),Vp 50% Sw (m/s),Vp 60% Sw (m/s),Vp 80% Sw (m/s),Vp 100% Sw (m/s),Vs 0% Sw (m/s),Vs 20% Sw (m/s),Vs 40% Sw (m/s),Vs 50% Sw (m/s),Vs 60% Sw (m/s),Vs 80% Sw (m/s),Vs 100% Sw (m/s),Ksat 0% Sw (GPa),Ksat 20% Sw (GPa),Ksat 40% Sw (GPa),Ksat 50% Sw (GPa),Ksat 60% Sw (GPa),Ksat 80% Sw (GPa),Ksat 100% Sw (GPa),Seismic Time 0% Sw (s),Amplitude 0% Sw,Seismic Time 50% Sw (s),Amplitude 50% Sw,Seismic Time 100% Sw,Amplitude 100% Sw
10875.0,-20.96426858,101.9256308,2177.877086925,2172.1250734390906,2179.2538504404342,2191.1075656614144,2212.4142847876033,2316.4082971986454,2811.3780260285534,1425.562458532511,1406.6800028656362,1388.5285326889195,1375.3668277525,1371.062069688664,1354.2385850751355,1338.0195738261339,4.514394068166809,4.741934486426449,5.097608949898453,5.362861266783215,5.732068885472701,7.184342765748909,14.642649879662464,9.993333333333334,0.011004599991162585,9.933333333333334,0.01694262926582264,7.753333333333334,-0.0042375735969991
10875.5,-20.93931929,96.90571049,2539.8089499645594,2523.3938307693843,2517.208766615918,2520.615879586848,2531.4173471748923,2601.466188850918,2995.0034991555995,1554.4125346018795,1533.8233800566138,1514.0312814394933,1499.679950140434,1494.9861046671576,1476.642022159633,1458.9570486017226,7.168450445077349,7.365990399302958,7.6750884907903725,7.9058584073749305,8.22743003531391,9.496413725993705,16.276794248417485,10.013333333333334,0.006322464482684781,9.953333333333333,0.00576380189674182,7.773333333333333,0.0011505226120666345
10876.0,-20.92728625,93.87782205,2760.9363196039867,2738.6901183448113,2725.3430394312563,2724.2518715564674,2729.4805009379297,2781.424342621943,3117.351339949417,1639.5067819938529,1617.790501559246,1596.91491081977,1581.7779349709006,1576.8271311683318,1557.478826255026,1538.825712334401,8.966119816133299,9.144537561565139,9.423909392145408,9.632641210355668,9.923724966917536,11.074922414292212,17.41351202056545,10.033333333333333,-0.002208889812605557,9.973333333333334,-0.00199441522984066,7.793333333333334,-0.004071368731102444
10876.5,-20.95455871,90.8499336,2986.7587816613304,2958.973213397357,2938.9139046451405,2933.646975555066,2933.728562610811,2968.9694958911036,3249.7338021829846,1730.8745667212702,1707.9480635186812,1685.9091006591934,1669.9285589489484,1664.7018526731306,1644.2752894826558,1624.5826594612663,10.936072977486255,11.094648022396294,11.343139730525989,11.528951221385897,11.788288643249667,12.816415247589678,18.68814500769605,10.053333333333335,0.0017361736669344327,9.993333333333334,0.0015632504596871455,7.8133333333333335,0.0025916879886252724
10877.0,-21.03604782,85.98937583,3363.9011645308333,3327.6224825106706,3297.465563235771,3286.008171986253,3278.5278363243856,3289.4026133316443,3486.584780677757,1892.4423996389621,1867.3758306511102,1843.2796491245838,1825.8074097820452,1820.092818582318,1797.7595455631279,1776.2287144275854,14.52038374088904,14.64584158191612,14.842712010882604,14.990142625658464,15.196226278113501,16.01685592096314,21.089249249229326,10.073333333333334,-0.009650819706651402,10.013333333333334,-0.008122592192410912,7.833333333333334,-0.006789172849180483
10877.5,-21.15924541,85.98937583,3363.9011645308333,3327.6224825106706,3297.465563235771,3286.008171986253,3278.5278363243856,3289.4026133316443,3486.584780677757,1892.4423996389621,1867.3758306511102,1843.2796491245838,1825.8074097820452,1820.092818582318,1797.7595455631279,1776.2287144275854,14.52038374088904,14.64584158191612,14.842712010882604,14.990142625658464,15.196226278113501,16.01685592096314,21.089249249229326,10.093333333333334,-0.010342339888912103,10.033333333333333,-0.014111680130526414,7.8533333333333335,-0.00815271513607247
10878.0,-21.28033374,85.72377158,3385.156259947066,3348.4233900666886,3317.7335889159745,3305.9530354959115,3298.0807784627054,3307.7021717871507,3500.4962171133425,1901.8538974172016,1876.6626673255914,1852.4466506278895,1834.8875183147725,1829.144507300318,1806.7001664095555,1785.0622581077891,14.733145235976396,14.856758562574031,15.050750619351614,15.196038559305821,15.399145559558246,16.208135585345605,21.2352416901688,10.113333333333333,-0.0031919664966370493,10.053333333333335,0.01407900260977241,7.873333333333334,0.0035406642455256864
10878.5,-21.35356361,85.61487384,3393.8926736810145,3356.9738160497054,3326.066020168259,3314.153376783198,3306.1210178897545,3315.2307445215115,3506.2311871521047,1905.7311978378157,1880.4886105062187,1856.2232247313993,1838.6282946994377,1832.873575435968,1810.3834773750598,1788.7014559733998,14.820924867333204,14.943781160446205,15.13659175971136,15.281000134178461,15.482885104537157,16.287095288674244,21.295590586660765,10.133333333333335,0.013546924008507998,10.073333333333334,0.008938503390400206,7.8933333333333335,0.002365093839166314
10879.0,-21.38636636,85.45816733,3406.48712134141,3369.3008505251605,3338.0798446548893,3325.9775314531544,3317.7153756207176,3326.0910584976805,3514.5161285283384,1911.3298220316074,1886.013077462983,1861.6764052569897,1844.0297851435112,1838.258159765195,1815.701990682693,1793.9562722130902,14.947805209241416,15.069571346458392,15.260680497122799,15.403822100944362,15.603946954493667,16.401271256150192,21.382941914077254,10.153333333333334,-0.021852477921952506,10.093333333333334,-0.0017424340276453178,7.913333333333334,-0.0032585082953462173
10879.5,-21.45541006,85.45816733,3406.48712134141,3369.3008505251605,3338.0798446548893,3325.9775314531544,3317.7153756207176,3326.0910584976805,3514.5161285283384,1911.3298220316074,1886.013077462983,1861.6764052569897,1844.0297851435112,1838.258159765195,1815.701990682693,1793.9562722130902,14.947805209241416,15.069571346458392,15.260680497122799,15.403822100944362,15.603946954493667,16.401271256150192,21.382941914077254,10.173333333333334,0.01707436697802191,10.113333333333333,-0.03578498388477416,7.933333333333334,0.0007530242135890224
